HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
3	2	2.6	3.2	2.8	2	1	1	2	2	2
2	3	1.67	3.75	5.5	0	0	0	1	1	2
1	1	4.33	3.75	1.8	0	2	-2	0	3	3
2	3	4.5	3.6	1.8	3	0	3	4	2	1
1	2	3	3.3	2.4	0	1	-1	0	1	3
1	6	2.7	3.25	2.7	0	0	0	0	0	2
4	1	5	3.75	1.73	0	0	0	1	1	2
6	2	1.36	5	8.5	2	0	2	3	1	1
7	1	1.4	4.75	8	0	0	0	0	0	2
6	1	1.5	4.33	6.5	0	0	0	3	0	1
7	2	1.57	4	6	1	0	1	2	0	1
4	3	2.1	3.6	3.4	0	0	0	0	1	3
3	3	1.67	3.8	5.25	3	0	3	4	0	1
0	4	1.83	3.5	4.5	0	1	-1	0	1	3
3	0	1.53	4.1	6.5	1	0	1	1	1	2
3	2	3.8	3.5	2	1	0	1	2	1	1
1	2	2.55	3.4	2.75	2	0	2	2	3	3
2	2	2.25	3.3	3.3	2	2	0	2	2	2
1	3	2.63	3.3	2.63	1	1	0	2	3	3
2	1	1.8	3.75	4.33	1	1	0	1	2	3
3	1	2.15	3.4	3.5	1	2	-1	2	3	3
2	2	9	5.25	1.33	2	1	1	2	2	2
3	2	2.6	3.2	2.75	0	1	-1	1	4	3
5	2	2.4	3.3	3	1	0	1	5	1	1
5	3	2.25	3.3	3.3	1	1	0	1	2	3
2	2	3.25	3.25	2.25	0	0	0	0	1	3
2	5	2.55	3.3	2.8	1	1	0	1	4	3
2	0	2.05	3.6	3.5	0	1	-1	0	1	3
7	1	1.3	5.5	10	1	1	0	2	1	1
1	2	3.25	3.4	2.2	2	1	1	3	2	1
2	0	1.7	3.6	5.5	0	0	0	2	0	1
1	2	2.6	3.3	2.75	1	1	0	2	1	1
6	1	1.22	6.5	13	2	0	2	3	0	1
2	0	1.18	7	17	2	2	0	3	2	1
4	3	2.55	3.5	2.7	2	2	0	3	2	1
1	3	3	3.3	2.4	1	0	1	3	1	1
2	3	2.55	3.5	2.7	0	0	0	0	1	3
1	4	2.1	3.4	3.5	0	0	0	1	1	2
2	2	2.4	3.4	2.9	0	0	0	1	1	2
1	1	2.5	3.3	2.88	1	0	1	3	0	1
