League	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	1.4	5	9	1	2	-1	3	3	2
1	5.5	4.2	1.65	0	0	0	0	1	3
1	4	3.6	2	1	0	1	3	2	1
1	1.95	3.6	4.33	0	0	0	0	0	2
1	2.5	3.4	3	1	1	0	2	1	1
1	2.4	3.4	3.2	0	0	0	1	0	1
1	2.2	3.5	3.5	1	0	1	2	2	2
1	1.83	3.9	4.5	1	1	0	2	2	2
1	3.6	3.4	2.2	0	0	0	0	1	3
1	1.36	5.5	9.5	1	0	1	4	1	1
1	2.3	3.4	3.4	0	0	0	0	0	2
1	5.75	4	1.67	2	1	1	3	1	1
1	1.91	3.5	4.6	0	0	0	2	1	1
1	4.5	3.6	1.91	0	1	-1	0	1	3
1	1.83	3.75	4.75	2	0	2	4	1	1
1	1.67	4	5.75	1	1	0	2	1	1
1	2.63	3.4	2.88	0	0	0	2	1	1
1	1.75	3.9	5	2	0	2	2	0	1
1	1.4	5	9	0	0	0	0	2	3
1	1.57	4.4	6	1	0	1	5	0	1
1	1.33	5.5	11	1	0	1	2	1	1
1	2.2	3.3	3.75	1	0	1	1	0	1
1	3.8	3.5	2.1	0	1	-1	2	1	1
1	7	4.33	1.53	0	1	-1	0	2	3
1	2.63	3.4	2.88	0	2	-2	0	3	3
1	2.05	3.5	4	1	0	1	2	1	1
1	1.95	3.6	4.33	0	0	0	2	0	1
1	2.2	3.5	3.2	2	1	1	4	2	1
1	3.6	3.5	2.15	1	1	0	2	3	3
1	1.4	5	9	1	0	1	1	0	1
1	1.38	5	10	1	0	1	3	1	1
1	1.33	5.5	11	1	0	1	4	0	1
1	1.85	3.8	4.5	1	1	0	1	2	3
1	2.15	3.25	4	0	1	-1	0	1	3
1	2.4	3.3	3.3	1	2	-1	2	2	2
1	2.1	3.6	3.75	0	0	0	1	0	1
1	4.5	3.75	1.85	0	3	-3	0	4	3
1	2.3	3.6	3.25	2	0	2	2	1	1
1	7.5	4.5	1.44	0	1	-1	0	1	3
1	2.5	3.4	3	0	0	0	0	0	2
1	2.25	3.4	3.5	1	1	0	3	1	1
1	2.45	3.4	3.1	1	2	-1	1	2	3
1	2.45	3.3	3.2	1	1	0	2	1	1
1	1.95	3.8	4	1	1	0	3	2	1
1	1.83	3.7	4.8	0	0	0	2	1	1
1	2.3	3.4	3.4	1	1	0	3	2	1
1	3.9	3.6	2.05	1	0	1	2	0	1
1	1.17	9	19	1	0	1	1	0	1
1	4.2	3.8	1.91	2	1	1	3	1	1
1	2.5	3.3	3.1	0	0	0	0	0	2
1	3.4	3.5	2.25	0	0	0	0	2	3
1	1.4	5	9	1	0	1	2	0	1
1	2.05	3.5	4	1	1	0	1	1	2
1	1.5	4.5	7.5	0	0	0	0	1	3
1	2.3	3.4	3.4	1	0	1	2	1	1
1	1.25	6.5	15	1	0	1	4	1	1
1	1.57	3.9	7.5	1	0	1	1	0	1
1	1.33	5.5	11	2	0	2	4	0	1
