HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
4	6	1.57	4	7	0	0	0	1	0	1
2	4	6.5	4	1.6	0	0	0	0	2	3
5	2	1.18	8	19	0	0	0	1	0	1
1	2	1.8	3.9	4.75	0	1	-1	1	1	2
4	2	3.2	3.4	2.4	2	1	1	3	1	1
1	3	1.3	5.75	12	3	2	1	4	3	1
4	2	2.1	3.4	3.9	0	0	0	1	0	1
4	0	3.8	3.5	2.1	0	0	0	1	0	1
6	2	1.53	4.2	7.5	0	0	0	1	0	1
2	1	8	4.75	1.45	0	0	0	1	3	3
2	0	2.45	3.2	3.3	0	2	-2	1	4	3
1	3	3.75	3.75	2.05	0	1	-1	0	3	3
2	3	5.5	3.8	1.73	0	0	0	1	0	1
3	2	2.1	3.4	3.9	4	1	3	4	1	1
1	0	1.85	3.5	5	1	0	1	1	1	2
3	4	1.33	5.25	12	1	0	1	1	0	1
3	0	2.35	3.5	3.2	1	0	1	3	1	1
2	3	1.57	4	7	0	0	0	4	0	1
5	2	3.9	3.3	2.15	0	1	-1	0	1	3
1	0	2.25	3.3	3.6	0	0	0	1	1	2
1	4	5	3.6	1.83	0	1	-1	0	3	3
1	2	7	4.33	1.53	0	0	0	1	0	1
7	3	1.36	5	11	0	0	0	2	1	1
4	4	2.9	3.4	2.6	0	0	0	1	0	1
0	2	6.5	4.33	1.57	0	1	-1	0	2	3
2	1	1.62	4	6.5	1	0	1	4	2	1
5	1	2.25	3.3	3.6	1	1	0	3	1	1
4	0	2.15	3.3	3.9	0	0	0	0	0	2
2	0	1.95	3.6	4.33	1	0	1	1	2	3
1	2	2.5	3.6	2.9	0	1	-1	0	3	3
2	1	3.1	3.4	2.45	0	1	-1	0	1	3
1	5	9.5	5.25	1.36	2	2	0	3	6	3
6	0	1.85	3.6	4.75	4	0	4	6	0	1
2	6	1.67	3.9	6	1	1	0	3	2	1
4	2	2.25	3.3	3.6	2	0	2	2	0	1
4	1	1.17	9	17	1	0	1	5	0	1
2	3	1.85	3.6	4.75	0	0	0	1	0	1
4	1	2.2	3.3	3.75	2	0	2	2	0	1
6	1	4.5	3.6	1.91	0	2	-2	0	2	3
3	2	2.2	3.3	3.75	1	3	-2	1	4	3
3	2	2.25	3.4	3.5	1	2	-1	3	2	1
7	0	1.57	4.2	6.5	0	1	-1	2	2	2
4	3	3.5	3.6	2.15	0	1	-1	0	3	3
5	7	3.5	3.4	2.25	0	1	-1	0	3	3
0	3	1.17	9	19	1	0	1	2	1	1
3	1	2.4	3.3	3.3	1	0	1	2	1	1
2	2	3.6	3.5	2.15	0	1	-1	1	1	2
1	6	10	4.75	1.4	0	0	0	1	0	1
0	1	1.45	4.75	8	2	1	1	4	1	1
4	0	1.75	3.8	5.25	1	0	1	4	0	1
4	1	2.15	3.3	3.9	0	0	0	1	0	1
