HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
4	2	3.1	3.4	2.3	0	1	-1	0	1	3
0	2	8	4.75	1.4	1	0	1	2	0	1
6	2	1.85	3.75	4.2	1	1	0	1	3	3
8	1	1.5	4.33	7	0	0	0	1	1	2
2	1	1.13	9	21	1	0	1	3	1	1
4	2	1.67	4	5	0	0	0	1	1	2
3	0	1.7	3.8	5	2	1	1	3	1	1
2	1	4.75	3.8	1.75	0	0	0	1	0	1
4	1	1.22	6.5	13	5	1	4	7	3	1
6	5	3.25	3.8	2.1	0	2	-2	1	4	3
3	5	5	4.4	1.6	0	0	0	0	1	3
6	2	3.1	3.6	2.2	0	1	-1	2	2	2
3	4	4.5	3.7	1.8	0	1	-1	1	1	2
5	4	2.05	3.5	3.6	1	0	1	1	1	2
0	6	1.95	3.8	3.6	0	0	0	3	2	1
4	1	1.5	4.2	6.5	1	1	0	3	1	1
0	1	2.9	3.7	2.3	3	0	3	3	2	1
1	2	1.8	3.5	4.75	1	0	1	1	0	1
5	2	1.44	4.75	6.75	0	1	-1	1	2	3
2	2	5	4	1.67	1	0	1	1	0	1
4	3	2.5	3.4	2.88	1	1	0	3	1	1
3	0	1.8	3.8	4.33	1	0	1	1	1	2
0	5	6	4.5	1.5	0	1	-1	0	5	3
0	3	13	6.5	1.22	2	2	0	3	5	3
3	2	1.25	6.5	10	2	0	2	4	1	1
2	4	2.3	3.4	3.1	0	1	-1	0	1	3
3	2	2.05	3.3	3.8	1	0	1	2	1	1
4	1	1.17	7.5	17	2	0	2	3	0	1
2	4	2	3.5	3.75	1	2	-1	1	3	3
4	1	1.36	5	8.5	0	0	0	3	0	1
3	8	1.8	3.8	4.33	4	1	3	6	2	1
1	3	2.1	3.5	3.5	1	0	1	1	1	2
0	1	2.3	3.5	3	1	0	1	2	0	1
3	2	1.29	6	9.5	0	0	0	1	0	1
2	4	4.5	4	1.73	0	0	0	1	2	3
0	2	3.5	4	1.95	1	0	1	2	1	1
0	5	2.05	4	3.25	2	1	1	3	1	1
2	3	1.14	8	19	0	1	-1	2	2	2
4	1	1.33	5.5	8.5	3	0	3	5	2	1
0	4	6	4.33	1.53	0	0	0	2	1	1
1	0	1.06	15	34	1	1	0	3	2	1
0	1	15	7.5	1.18	0	2	-2	2	4	3
2	6	1.6	4.6	4.75	3	2	1	5	3	1
